9:00 AM,48,1547,4718,3988,4685,3530,3386
9:09 AM,49,244,2809,4476,2013,3550,3985
9:18 AM,50,4808,1325,4001,2056,865,4807
9:27 AM,51,4343,3541,4015,2185,1241,2852
9:36 AM,52,288,4808,1547,4727,865,3988
9:45 AM,53,1114,3541,4476,4807,2852,3387
9:54 AM,54,4685,244,2185,4001,781,2013
10:03 AM,55,3543,2809,3550,1241,2994,1075
10:12 AM,56,3985,216,4015,4718,4343,3386
10:21 AM,57,2056,1325,1075,4252,3530,4001
10:30 AM,58,3386,3543,2994,2852,4476,1547
10:39 AM,59,1114,3985,2056,3530,3541,2809
10:48 AM,60,4015,3550,3988,1325,216,2185
10:57 AM,61,4807,781,4252,865,4718,2013
11:06 AM,62,4343,1241,244,288,3387,4685
11:15 AM,63,4808,3386,2185,4727,3530,1114
11:24 AM,64,4343,3988,3543,781,2809,865
11:33 AM,65,1075,4015,4001,4808,2013,2852
11:42 AM,66,4252,216,1241,4476,2056,288
11:51 AM,67,4727,4685,4718,1325,3550,4807
12:00 PM,68,3985,3541,244,2994,1547,3387
